Order Date,Region,Category,Sales,Quantity,Profit,Discount,Segment
2023-01-05,West,Technology,1200.00,3,180.00,0.05,Consumer
2023-01-08,East,Furniture,1500.00,4,210.00,0.10,Corporate
2023-01-12,Central,Office Supplies,400.00,2,60.00,0.00,Home Office
2023-01-15,South,Technology,2200.00,5,330.00,0.08,Consumer
2023-01-19,West,Furniture,1800.00,6,240.00,0.12,Corporate
2023-01-23,East,Office Supplies,350.00,1,40.00,0.02,Home Office
2023-01-28,Central,Technology,950.00,2,120.00,0.04,Consumer
2023-02-02,South,Furniture,2400.00,7,360.00,0.09,Corporate
2023-02-06,West,Office Supplies,420.00,3,55.00,0.01,Home Office
2023-02-10,East,Technology,1350.00,4,180.00,0.06,Consumer
2023-02-14,Central,Furniture,2100.00,5,290.00,0.15,Corporate
2023-02-18,South,Office Supplies,520.00,2,70.00,0.03,Home Office
2023-02-22,West,Technology,1450.00,4,200.00,0.07,Consumer
2023-02-27,East,Furniture,1950.00,6,280.00,0.11,Corporate
2023-03-03,Central,Office Supplies,610.00,3,80.00,0.04,Home Office
2023-03-07,South,Technology,1700.00,5,250.00,0.05,Consumer
2023-03-11,West,Furniture,2300.00,7,340.00,0.10,Corporate
2023-03-16,East,Office Supplies,470.00,2,60.00,0.02,Home Office
2023-03-20,Central,Technology,1600.00,4,220.00,0.06,Consumer
2023-03-24,South,Furniture,2600.00,8,390.00,0.12,Corporate
2023-03-29,West,Office Supplies,540.00,3,75.00,0.03,Home Office
2023-04-02,East,Technology,1750.00,5,260.00,0.08,Consumer
2023-04-06,Central,Furniture,2450.00,6,350.00,0.14,Corporate
2023-04-09,South,Office Supplies,660.00,3,90.00,0.04,Home Office
2023-04-13,West,Technology,1900.00,5,300.00,0.07,Consumer
2023-04-18,East,Furniture,2550.00,7,410.00,0.13,Corporate
2023-04-22,Central,Office Supplies,700.00,4,95.00,0.04,Home Office
2023-04-27,South,Technology,2100.00,6,320.00,0.09,Consumer
2023-05-03,West,Furniture,2700.00,8,430.00,0.12,Corporate
2023-05-07,East,Office Supplies,760.00,4,110.00,0.05,Home Office
2023-05-12,Central,Technology,2250.00,6,340.00,0.08,Consumer
2023-05-16,South,Furniture,3000.00,9,470.00,0.14,Corporate
2023-05-21,West,Office Supplies,820.00,5,120.00,0.06,Home Office
2023-05-25,East,Technology,2400.00,7,380.00,0.10,Consumer
2023-05-29,Central,Furniture,3300.00,10,510.00,0.15,Corporate
2023-06-04,South,Office Supplies,880.00,5,130.00,0.05,Home Office
2023-06-09,West,Technology,2650.00,8,420.00,0.11,Consumer
2023-06-13,East,Furniture,3500.00,11,560.00,0.16,Corporate
2023-06-18,Central,Office Supplies,920.00,6,145.00,0.06,Home Office
2023-06-22,South,Technology,2850.00,8,450.00,0.09,Consumer
2023-06-27,West,Furniture,3700.00,12,600.00,0.17,Corporate
2023-07-01,East,Office Supplies,980.00,6,150.00,0.06,Home Office
2023-07-05,Central,Technology,3100.00,9,500.00,0.10,Consumer
2023-07-09,South,Furniture,3900.00,13,640.00,0.18,Corporate
2023-07-14,West,Office Supplies,1030.00,7,160.00,0.07,Home Office
2023-07-18,East,Technology,3350.00,10,525.00,0.12,Consumer
2023-07-23,Central,Furniture,4100.00,14,680.00,0.19,Corporate
2023-07-27,South,Office Supplies,1100.00,7,175.00,0.08,Home Office
2023-07-31,West,Technology,3600.00,11,590.00,0.13,Consumer
2023-08-04,East,Furniture,4300.00,15,710.00,0.20,Corporate
2023-08-08,Central,Office Supplies,1160.00,8,180.00,0.08,Home Office
2023-08-12,South,Technology,3850.00,12,620.00,0.14,Consumer
2023-08-16,West,Furniture,4480.00,15,740.00,0.20,Corporate
2023-08-21,East,Office Supplies,1210.00,8,191.00,0.08,Home Office
2023-08-25,Central,Technology,4100.00,13,660.00,0.15,Consumer
2023-08-29,South,Furniture,4700.00,16,780.00,0.21,Corporate
2023-09-03,West,Office Supplies,1280.00,9,205.00,0.09,Home Office
2023-09-07,East,Technology,4350.00,14,700.00,0.16,Consumer
2023-09-12,Central,Furniture,4950.00,17,820.00,0.22,Corporate
2023-09-17,South,Office Supplies,1360.00,9,215.00,0.09,Home Office
2023-09-22,West,Technology,4600.00,15,740.00,0.17,Consumer
2023-09-27,East,Furniture,5200.00,18,860.00,0.23,Corporate
2023-10-01,Central,Office Supplies,1420.00,10,220.00,0.10,Home Office
2023-10-05,South,Technology,4850.00,16,780.00,0.18,Consumer
2023-10-09,West,Furniture,5450.00,19,900.00,0.24,Corporate
2023-10-13,East,Office Supplies,1490.00,10,232.00,0.10,Home Office
2023-10-17,Central,Technology,5100.00,17,820.00,0.18,Consumer
2023-10-21,South,Furniture,5700.00,20,940.00,0.25,Corporate
2023-10-26,West,Office Supplies,1550.00,11,245.00,0.11,Home Office
2023-10-30,East,Technology,5350.00,18,860.00,0.18,Consumer
2023-11-03,Central,Furniture,6000.00,21,980.00,0.25,Corporate
2023-11-08,South,Office Supplies,1620.00,11,255.00,0.11,Home Office
2023-11-13,West,Technology,5600.00,19,900.00,0.19,Consumer
2023-11-17,East,Furniture,6300.00,22,1040.00,0.26,Corporate
2023-11-22,Central,Office Supplies,1700.00,12,270.00,0.12,Home Office
2023-11-27,South,Technology,5900.00,20,950.00,0.20,Consumer
2023-12-02,West,Furniture,6550.00,23,1080.00,0.26,Corporate
2023-12-06,East,Office Supplies,1780.00,12,280.00,0.12,Home Office
2023-12-11,Central,Technology,6150.00,21,990.00,0.21,Consumer
2023-12-15,South,Furniture,6800.00,24,1120.00,0.27,Corporate
2023-12-20,West,Office Supplies,1850.00,13,290.00,0.13,Home Office
2023-12-24,East,Technology,6400.00,22,1030.00,0.21,Consumer
2023-12-29,Central,Furniture,7050.00,25,1160.00,0.28,Corporate
